trip_id,start_time,end_time,duration_minutes,speed_min,speed_max,speed_avg,voltage_min,voltage_max,voltage_avg,current_min,current_max,current_avg,soc_start,soc_end,soc_min,soc_max,motor_temp_min,motor_temp_max,motor_temp_avg,cell_temp_min,cell_temp_max,cell_temp_avg,distance_km,energy_consumed_kwh
T011,2024-02-01 06:00:00+00:00,2024-02-01 08:55:00+00:00,175,-3.22,89.04,48.7,9.33,377.14,341.39,-44.37,133.94,65.89,79.99,23.41,68.99,68.0,22.78,93.22,62.1,37.99,46.06,38.29,74.64,5.41
T012,2024-02-01 06:10:00+00:00,2024-02-01 07:16:00+00:00,66,-3.23,72.71,51.54,223.5,378.05,353.06,-35.39,139.01,43.48,93.57,54.14,58.91,64.33,-7.82,68.4,60.76,34.49,45.27,41.97,70.72,5.09
T013,2024-02-01 06:20:00+00:00,2024-02-01 09:11:00+00:00,171,-0.45,114.38,59.96,110.91,383.35,345.2,-48.05,147.35,42.71,69.11,45.54,61.99,38.4,33.74,71.12,71.83,34.41,41.45,42.72,22.48,2.81
T014,2024-02-01 06:30:00+00:00,2024-02-01 09:20:00+00:00,170,-3.7,107.9,52.02,72.14,381.05,330.94,-46.4,152.45,60.17,67.78,49.51,69.75,76.96,1.63,94.55,75.64,30.84,53.82,42.69,92.55,3.13
T015,2024-02-01 06:40:00+00:00,2024-02-01 07:36:00+00:00,56,-0.09,87.04,56.51,139.32,378.77,354.49,-41.79,105.84,56.4,66.1,25.66,24.3,80.54,8.43,85.96,66.68,30.34,55.18,35.39,63.93,4.88
T016,2024-02-01 06:50:00+00:00,2024-02-01 08:25:00+00:00,95,-1.05,78.91,43.47,240.52,376.98,341.72,-44.63,155.82,40.35,94.45,56.47,56.84,45.19,33.61,85.83,72.68,28.09,50.38,36.45,60.63,6.03
T017,2024-02-01 07:00:00+00:00,2024-02-01 09:45:00+00:00,165,-0.42,108.64,51.08,181.86,363.43,355.9,-43.97,112.37,58.04,76.75,38.12,46.65,41.72,35.64,71.11,62.0,36.85,48.96,39.48,69.34,6.22
T018,2024-02-01 07:10:00+00:00,2024-02-01 10:00:00+00:00,170,-4.29,100.2,56.32,78.03,381.01,335.57,-45.19,134.41,47.86,51.62,73.49,31.5,84.58,15.99,92.62,69.54,30.23,56.12,36.59,43.03,4.64
T019,2024-02-01 07:20:00+00:00,2024-02-01 09:38:00+00:00,138,-1.21,77.31,45.08,45.23,379.92,360.86,-39.92,107.73,52.23,87.19,75.56,58.66,41.88,27.79,69.41,64.73,30.46,39.52,38.88,53.93,5.79
T020,2024-02-01 07:30:00+00:00,2024-02-01 08:41:00+00:00,71,-0.16,101.09,44.71,58.46,374.45,359.69,-43.04,120.46,71.2,79.61,38.72,51.59,64.15,28.01,68.23,54.08,34.03,54.79,34.89,37.36,3.96
T021,2024-02-01 07:40:00+00:00,2024-02-01 10:02:00+00:00,142,-3.89,110.34,54.41,26.67,366.88,351.12,-42.95,146.04,65.31,44.12,31.46,57.17,67.11,36.25,68.25,55.15,37.56,43.42,36.73,31.08,3.14
T022,2024-02-01 07:50:00+00:00,2024-02-01 09:54:00+00:00,124,-0.05,110.47,60.53,19.47,380.93,332.88,-50.29,127.03,36.89,92.97,59.86,58.21,47.21,-7.69,92.54,69.73,32.58,43.78,33.64,46.07,4.49
T023,2024-02-01 08:00:00+00:00,2024-02-01 08:41:00+00:00,41,-2.06,77.33,49.02,236.65,383.78,350.06,-35.38,127.23,69.23,50.38,41.65,39.5,39.18,1.49,74.09,53.89,37.35,41.77,35.2,29.47,6.71
T024,2024-02-01 08:10:00+00:00,2024-02-01 09:43:00+00:00,93,-2.73,109.87,59.6,40.0,380.88,354.45,-51.69,119.41,46.52,82.93,56.29,76.9,92.67,5.53,74.14,69.42,31.22,44.51,37.75,84.32,3.11
T025,2024-02-01 08:20:00+00:00,2024-02-01 11:03:00+00:00,163,-0.38,103.11,44.36,227.41,367.68,344.25,-40.66,156.96,64.76,94.78,52.01,55.17,75.87,-5.91,89.0,63.38,36.29,44.69,47.23,40.59,3.13
T026,2024-02-01 08:30:00+00:00,2024-02-01 10:31:00+00:00,121,-2.38,81.91,47.28,95.97,369.43,340.47,-44.47,106.49,46.94,94.34,48.29,54.45,74.81,7.22,94.59,59.56,29.79,46.53,41.36,56.08,6.69
T027,2024-02-01 08:40:00+00:00,2024-02-01 09:31:00+00:00,51,-3.09,97.48,40.67,306.44,377.23,348.32,-48.14,147.72,47.38,47.26,44.55,35.97,59.97,49.9,74.24,72.58,33.14,38.84,35.83,61.23,4.33
T028,2024-02-01 08:50:00+00:00,2024-02-01 10:08:00+00:00,78,-1.66,80.29,44.38,46.63,364.77,359.94,-38.06,108.2,37.2,46.9,69.8,62.79,89.62,32.9,75.96,60.04,35.13,42.63,38.93,80.9,4.47
T029,2024-02-01 09:00:00+00:00,2024-02-01 10:42:00+00:00,102,-1.79,103.53,49.79,22.97,381.83,330.54,-45.62,148.99,72.34,59.16,57.69,33.74,42.58,0.87,93.78,75.55,29.25,45.71,43.97,29.76,5.65
T030,2024-02-01 09:10:00+00:00,2024-02-01 11:27:00+00:00,137,-2.48,82.84,60.12,265.63,363.37,351.96,-45.81,146.46,37.61,64.48,73.67,73.23,55.29,-2.23,68.76,73.35,36.27,41.46,42.1,73.41,4.99
T031,2024-02-01 09:20:00+00:00,2024-02-01 10:46:00+00:00,86,-2.43,81.62,54.35,163.91,380.74,361.53,-38.19,135.42,65.08,90.52,40.81,24.26,88.68,55.52,89.81,71.63,34.98,56.14,46.07,95.51,4.69
T032,2024-02-01 09:30:00+00:00,2024-02-01 12:26:00+00:00,176,-1.11,77.11,57.85,185.45,363.4,330.92,-49.9,114.33,55.96,79.89,23.82,63.75,48.09,55.93,76.44,76.27,29.34,48.44,37.46,48.45,5.01
T033,2024-02-01 09:40:00+00:00,2024-02-01 10:16:00+00:00,36,-0.14,92.2,56.38,143.65,384.03,358.06,-48.07,143.02,35.63,94.98,25.47,52.08,53.11,29.53,75.59,63.23,33.28,47.35,39.61,56.96,4.74
T034,2024-02-01 09:50:00+00:00,2024-02-01 12:06:00+00:00,136,-0.77,94.4,57.33,150.78,383.91,344.31,-40.03,140.06,72.51,77.18,40.48,71.85,40.72,2.62,81.37,60.05,30.01,44.1,34.79,98.09,3.37
T035,2024-02-01 10:00:00+00:00,2024-02-01 10:21:00+00:00,21,-4.73,113.21,42.21,-0.38,365.22,345.69,-39.46,146.46,52.16,50.37,32.53,32.2,73.68,38.25,91.75,58.15,37.45,39.03,45.87,94.32,3.34
T036,2024-02-01 10:10:00+00:00,2024-02-01 12:20:00+00:00,130,-3.52,72.08,39.98,249.74,366.69,336.65,-43.47,130.87,75.02,75.47,46.43,75.32,38.64,-8.5,77.38,58.98,31.94,52.26,45.33,36.54,6.39
T037,2024-02-01 10:20:00+00:00,2024-02-01 12:12:00+00:00,112,-3.32,105.54,58.05,225.6,382.73,355.88,-48.26,157.42,65.53,64.11,68.88,38.97,43.15,47.27,71.23,67.67,35.55,56.86,41.39,29.34,3.58
T038,2024-02-01 10:30:00+00:00,2024-02-01 11:46:00+00:00,76,-2.44,90.09,49.76,301.99,370.24,344.08,-41.87,119.22,59.18,73.39,26.87,51.97,66.25,44.54,93.84,53.97,34.11,40.72,46.59,87.0,4.38
T039,2024-02-01 10:40:00+00:00,2024-02-01 11:43:00+00:00,63,-1.39,87.32,56.07,287.31,363.46,361.37,-46.19,157.66,64.0,76.3,65.68,26.99,48.57,30.31,78.15,74.95,33.31,41.18,43.61,83.65,5.2
T040,2024-02-01 10:50:00+00:00,2024-02-01 11:14:00+00:00,24,-1.21,73.38,48.98,118.82,365.41,342.76,-45.34,105.34,43.46,43.36,49.6,59.27,81.22,54.99,84.88,73.22,35.92,56.58,43.71,98.81,5.29
T041,2024-02-01 11:00:00+00:00,2024-02-01 13:45:00+00:00,165,-0.56,77.52,49.24,124.98,379.7,338.53,-45.05,137.28,69.0,56.01,71.83,59.7,81.36,27.67,91.6,72.01,30.69,53.1,46.72,86.3,5.07
T042,2024-02-01 11:10:00+00:00,2024-02-01 11:54:00+00:00,44,-4.14,105.97,46.21,273.79,379.53,354.2,-41.69,129.65,60.93,88.52,53.25,24.58,64.08,37.43,90.57,68.59,28.75,54.59,37.31,55.82,4.62
T043,2024-02-01 11:20:00+00:00,2024-02-01 12:20:00+00:00,60,-2.66,84.05,49.39,239.63,369.14,360.46,-43.94,102.49,74.96,74.1,55.94,34.72,56.78,44.76,69.38,59.24,28.92,44.63,46.98,72.75,5.88
T044,2024-02-01 11:30:00+00:00,2024-02-01 13:53:00+00:00,143,-3.07,100.07,53.83,90.2,365.05,342.36,-51.6,98.32,52.57,61.21,68.56,61.25,53.72,22.2,69.32,56.0,32.09,42.54,43.83,100.86,6.38
T045,2024-02-01 11:40:00+00:00,2024-02-01 12:20:00+00:00,40,-1.39,80.72,51.2,112.2,362.45,354.83,-44.75,129.51,59.86,79.47,30.81,24.37,82.37,10.8,84.24,57.91,35.94,46.98,42.03,48.46,6.69
T046,2024-02-01 11:50:00+00:00,2024-02-01 12:32:00+00:00,42,-3.34,100.0,62.47,277.19,379.37,352.53,-44.25,137.12,74.33,77.51,58.28,60.66,68.19,-8.92,86.82,63.7,34.94,57.7,46.85,81.48,5.2
T047,2024-02-01 12:00:00+00:00,2024-02-01 14:58:00+00:00,178,-3.66,73.12,48.58,273.31,362.41,352.89,-43.35,136.05,57.66,59.11,51.39,47.89,83.65,5.36,80.14,66.23,28.75,45.44,43.8,70.12,3.01
T048,2024-02-01 12:10:00+00:00,2024-02-01 13:01:00+00:00,51,-3.4,80.62,45.62,294.73,378.83,338.71,-45.63,112.37,67.93,82.4,25.05,57.77,78.99,0.03,76.44,58.07,36.45,55.13,36.8,77.84,3.24
T049,2024-02-01 12:20:00+00:00,2024-02-01 13:13:00+00:00,53,-0.98,91.44,40.45,212.78,374.99,346.02,-41.72,153.62,63.12,90.53,69.59,27.58,47.0,33.87,91.4,56.31,30.2,49.34,41.26,81.88,5.21
T050,2024-02-01 12:30:00+00:00,2024-02-01 15:01:00+00:00,151,-0.73,90.27,40.66,-1.94,368.22,340.7,-36.58,116.62,63.19,84.35,34.68,64.7,84.24,1.26,92.83,61.49,36.71,44.29,38.92,70.92,5.69
T051,2024-02-01 12:40:00+00:00,2024-02-01 13:16:00+00:00,36,-2.92,107.63,50.14,311.45,366.2,337.0,-37.41,129.94,52.89,55.42,38.69,53.75,56.21,-2.13,89.21,73.14,37.52,43.72,36.87,96.51,4.44
T052,2024-02-01 12:50:00+00:00,2024-02-01 13:27:00+00:00,37,-0.98,84.96,43.3,60.25,372.01,362.2,-38.53,119.69,34.34,92.82,70.49,35.87,84.45,37.46,72.64,72.3,37.56,44.95,47.31,60.06,6.69
T053,2024-02-01 13:00:00+00:00,2024-02-01 13:50:00+00:00,50,-1.83,89.98,44.06,297.75,367.01,342.69,-43.89,140.6,44.93,89.06,43.41,42.38,68.35,11.82,73.73,56.85,31.95,50.87,42.46,67.29,3.41
T054,2024-02-01 13:10:00+00:00,2024-02-01 15:35:00+00:00,145,-0.79,77.71,44.67,1.46,366.48,360.82,-44.7,119.52,75.38,85.65,29.4,71.42,61.94,-1.92,86.16,58.39,33.98,56.62,45.74,87.53,2.89
T055,2024-02-01 13:20:00+00:00,2024-02-01 14:33:00+00:00,73,-0.45,87.36,42.68,86.03,374.08,358.96,-49.67,151.87,36.42,92.03,70.21,29.49,56.37,47.6,74.83,67.33,37.04,45.76,36.85,45.49,6.2
T056,2024-02-01 13:30:00+00:00,2024-02-01 15:36:00+00:00,126,-3.61,97.07,46.73,156.37,383.8,332.83,-36.27,113.71,62.31,89.78,26.06,50.49,58.34,14.5,78.4,56.07,34.43,45.03,39.34,98.38,6.79
T057,2024-02-01 13:40:00+00:00,2024-02-01 16:14:00+00:00,154,-0.98,81.01,48.25,85.1,368.34,358.18,-48.99,123.96,55.42,59.39,27.48,53.05,72.57,49.48,91.54,58.67,34.15,43.61,35.05,92.08,3.14
T058,2024-02-01 13:50:00+00:00,2024-02-01 15:16:00+00:00,86,-4.71,87.29,38.83,6.9,374.35,349.19,-42.13,153.25,73.32,62.79,58.63,24.87,68.49,3.9,69.29,74.7,36.84,38.01,39.95,95.62,2.99
T059,2024-02-01 14:00:00+00:00,2024-02-01 16:49:00+00:00,169,-1.06,95.37,49.71,303.14,381.5,344.74,-45.22,118.31,48.36,45.01,40.98,32.58,85.58,5.27,76.99,68.73,28.82,52.97,45.83,72.19,4.6
T060,2024-02-01 14:10:00+00:00,2024-02-01 15:53:00+00:00,103,-1.99,108.34,61.84,186.68,381.72,332.13,-37.48,131.67,63.73,94.91,51.46,32.55,94.18,2.3,90.38,73.66,33.56,48.46,42.19,34.88,4.94
T061,2024-02-01 14:20:00+00:00,2024-02-01 16:28:00+00:00,128,-4.93,79.19,62.29,54.26,381.32,331.6,-41.92,147.38,60.55,56.44,67.8,53.72,90.09,15.66,87.84,64.18,31.64,42.58,39.64,65.13,4.77
T062,2024-02-01 14:30:00+00:00,2024-02-01 15:45:00+00:00,75,-1.52,97.41,56.38,122.03,374.72,347.79,-36.27,122.79,65.78,86.76,57.71,46.17,65.01,29.45,79.77,56.03,35.55,47.72,36.82,23.7,4.26
T063,2024-02-01 14:40:00+00:00,2024-02-01 16:14:00+00:00,94,-0.44,91.63,54.22,123.02,371.67,359.02,-35.61,132.43,48.52,90.81,57.83,39.44,94.07,51.55,70.64,71.52,29.04,44.59,38.29,83.94,5.86
T064,2024-02-01 14:50:00+00:00,2024-02-01 16:28:00+00:00,98,-2.56,94.16,50.64,281.36,372.65,356.08,-49.86,132.25,60.28,58.26,46.55,76.49,73.41,14.04,80.08,60.53,34.29,57.31,42.96,35.51,6.78
T065,2024-02-01 15:00:00+00:00,2024-02-01 16:38:00+00:00,98,-1.72,113.8,54.5,2.37,373.94,348.88,-49.5,128.99,44.1,73.58,40.98,28.85,90.01,34.72,68.85,60.49,28.16,52.57,44.45,62.64,3.37
T066,2024-02-01 15:10:00+00:00,2024-02-01 16:28:00+00:00,78,-3.15,84.99,53.75,236.03,384.44,341.91,-40.13,152.2,43.77,80.71,32.85,55.83,90.69,25.12,84.94,73.02,34.91,54.48,46.76,32.34,5.07
T067,2024-02-01 15:20:00+00:00,2024-02-01 16:36:00+00:00,76,-3.0,105.33,49.03,204.07,364.64,358.7,-51.66,134.8,50.46,92.17,54.47,68.25,53.71,9.7,71.95,60.26,33.37,40.99,42.64,45.61,5.48
T068,2024-02-01 15:30:00+00:00,2024-02-01 17:31:00+00:00,121,-0.59,107.72,44.3,93.37,372.89,346.75,-41.64,116.86,60.08,92.69,54.03,54.69,83.32,-1.63,76.82,68.27,30.27,45.93,43.94,29.4,6.0
T069,2024-02-01 15:40:00+00:00,2024-02-01 16:02:00+00:00,22,-0.05,110.6,60.19,48.7,364.65,361.4,-44.23,127.77,72.07,86.07,53.32,71.74,84.09,4.33,70.58,58.39,36.3,42.37,37.43,44.39,3.44
T070,2024-02-01 15:50:00+00:00,2024-02-01 18:22:00+00:00,152,-2.32,104.83,51.67,269.05,362.88,344.0,-37.74,116.09,58.16,86.63,60.01,23.44,49.9,28.67,80.7,59.05,30.69,51.05,34.18,75.1,5.87
T071,2024-02-01 16:00:00+00:00,2024-02-01 17:14:00+00:00,74,-2.57,73.4,39.46,55.11,381.23,337.17,-42.42,148.9,72.85,49.98,69.69,39.38,68.17,15.24,93.44,68.17,28.3,48.1,43.63,91.85,5.54
T072,2024-02-01 16:10:00+00:00,2024-02-01 17:41:00+00:00,91,-0.21,74.0,56.05,317.77,369.4,349.48,-36.25,104.74,35.7,68.06,24.18,29.15,53.63,-0.85,82.88,70.3,31.78,48.18,46.65,83.95,5.22
T073,2024-02-01 16:20:00+00:00,2024-02-01 19:01:00+00:00,161,-0.29,72.34,44.11,141.66,381.67,342.33,-36.54,118.57,67.1,69.26,59.39,26.16,50.77,38.96,81.56,56.82,35.64,53.78,40.55,73.47,6.28
T074,2024-02-01 16:30:00+00:00,2024-02-01 18:56:00+00:00,146,-2.84,99.04,48.4,234.77,366.87,357.0,-45.7,152.12,57.15,68.31,23.52,61.12,65.48,43.98,86.44,74.88,33.12,52.89,40.9,100.69,3.09
T075,2024-02-01 16:40:00+00:00,2024-02-01 18:46:00+00:00,126,-1.2,83.62,54.11,24.64,375.03,352.5,-36.76,118.04,64.94,58.14,37.78,35.92,39.6,24.05,73.46,65.28,35.59,48.58,43.5,26.3,3.9
T076,2024-02-01 16:50:00+00:00,2024-02-01 19:19:00+00:00,149,-3.9,105.47,41.44,3.81,381.18,330.38,-41.79,148.79,57.56,46.87,35.8,41.36,74.39,54.46,79.25,73.77,34.47,45.91,42.37,29.8,5.33
T077,2024-02-01 17:00:00+00:00,2024-02-01 17:38:00+00:00,38,-1.32,74.25,55.55,338.61,367.99,354.38,-51.98,130.23,45.45,49.65,60.73,63.54,82.63,57.78,74.5,58.27,35.13,54.9,45.9,70.4,6.71
T078,2024-02-01 17:10:00+00:00,2024-02-01 18:55:00+00:00,105,-0.39,106.62,39.24,26.09,375.43,356.51,-47.76,122.07,41.09,61.88,24.39,66.25,41.85,5.12,85.46,54.78,36.91,54.12,36.0,45.5,5.27
T079,2024-02-01 17:20:00+00:00,2024-02-01 19:36:00+00:00,136,-2.32,105.5,54.7,70.68,380.19,340.33,-45.85,116.32,50.69,70.59,25.13,34.27,87.51,8.55,88.48,61.83,37.43,53.57,41.07,51.16,6.19
T080,2024-02-01 17:30:00+00:00,2024-02-01 18:16:00+00:00,46,-1.98,85.78,39.57,73.37,367.66,358.78,-42.74,104.24,58.7,52.9,29.34,42.07,84.94,1.38,68.66,72.86,29.1,51.27,40.72,75.65,4.78
T081,2024-02-01 17:40:00+00:00,2024-02-01 19:54:00+00:00,134,-0.88,100.75,51.55,315.0,366.79,354.87,-49.67,109.39,69.96,63.71,36.13,51.2,75.39,-9.34,71.43,63.69,36.11,48.03,41.47,33.58,4.36
T082,2024-02-01 17:50:00+00:00,2024-02-01 18:14:00+00:00,24,-3.89,77.75,51.01,58.75,374.93,334.64,-48.55,115.95,48.52,42.13,22.56,34.06,58.18,41.99,89.0,56.63,37.78,52.47,40.47,41.6,5.09
T083,2024-02-01 18:00:00+00:00,2024-02-01 19:07:00+00:00,67,-0.35,113.46,51.65,126.99,368.79,344.96,-48.05,120.39,36.32,88.72,30.4,34.0,53.5,-9.02,73.66,68.13,32.89,45.49,37.95,84.97,3.28
T084,2024-02-01 18:10:00+00:00,2024-02-01 18:51:00+00:00,41,-3.84,102.62,60.22,151.57,384.38,334.46,-45.61,128.74,56.52,55.07,50.27,42.88,53.24,48.09,94.51,68.22,30.89,38.91,38.51,88.89,5.79
T085,2024-02-01 18:20:00+00:00,2024-02-01 19:42:00+00:00,82,-1.3,83.19,55.57,175.81,365.09,330.24,-41.02,146.01,57.66,58.95,25.99,31.01,63.28,34.49,68.04,55.0,29.15,42.77,34.31,66.4,5.64
T086,2024-02-01 18:30:00+00:00,2024-02-01 20:39:00+00:00,129,-2.56,104.49,39.5,141.63,364.93,350.87,-40.8,106.28,62.94,40.89,29.18,51.28,51.9,34.54,93.28,71.16,31.73,54.42,36.99,26.29,3.65
T087,2024-02-01 18:40:00+00:00,2024-02-01 19:06:00+00:00,26,-1.24,78.2,54.74,222.49,372.8,355.35,-36.33,120.44,52.77,54.94,66.56,51.8,88.91,-1.66,71.35,60.76,30.42,46.13,37.94,34.22,3.96
T088,2024-02-01 18:50:00+00:00,2024-02-01 21:17:00+00:00,147,-1.81,99.86,55.67,296.03,362.99,361.76,-42.68,126.37,54.07,79.18,63.31,56.82,60.19,5.5,82.99,53.8,37.1,49.77,35.28,57.76,3.55
T089,2024-02-01 19:00:00+00:00,2024-02-01 21:53:00+00:00,173,-0.96,80.86,59.44,68.93,377.19,338.29,-44.95,108.12,61.92,67.95,65.33,43.55,69.52,3.94,70.42,54.39,37.54,43.22,43.84,78.06,2.94
T090,2024-02-01 19:10:00+00:00,2024-02-01 20:11:00+00:00,61,-4.59,72.98,55.27,133.33,372.89,345.66,-40.36,155.43,66.95,60.87,45.27,33.11,65.61,-1.79,88.66,70.88,36.72,56.72,40.81,86.98,4.86
T091,2024-02-01 19:20:00+00:00,2024-02-01 21:43:00+00:00,143,-2.06,108.58,51.6,27.23,368.25,340.88,-47.59,115.52,56.78,91.0,47.15,51.3,54.24,-8.6,84.14,62.49,32.35,48.54,47.08,41.1,3.87
T092,2024-02-01 19:30:00+00:00,2024-02-01 21:53:00+00:00,143,-1.42,90.69,42.39,94.19,376.92,359.46,-47.51,135.77,43.29,49.66,36.29,45.33,62.65,49.62,80.83,59.0,28.22,44.49,39.72,75.84,3.79
T093,2024-02-01 19:40:00+00:00,2024-02-01 20:49:00+00:00,69,-2.2,92.12,58.4,315.77,379.94,353.46,-41.79,104.82,35.37,65.64,71.9,22.23,94.2,41.06,81.53,73.67,30.83,57.77,41.5,68.23,4.57
T094,2024-02-01 19:50:00+00:00,2024-02-01 20:13:00+00:00,23,-1.05,101.66,42.36,58.81,374.33,357.62,-41.2,125.51,43.49,71.28,60.69,36.6,39.87,2.98,75.43,61.99,28.4,38.98,46.06,57.22,4.8
T095,2024-02-01 20:00:00+00:00,2024-02-01 22:51:00+00:00,171,-3.78,77.83,50.05,27.72,372.62,338.82,-38.65,132.49,45.13,38.46,70.16,62.86,49.33,1.72,75.74,75.78,35.92,47.26,43.41,75.73,4.86
T096,2024-02-01 20:10:00+00:00,2024-02-01 20:34:00+00:00,24,-0.64,104.36,38.6,45.35,363.99,356.54,-43.77,126.66,61.14,51.06,25.58,32.2,62.15,51.68,72.51,64.33,33.03,40.57,47.03,74.25,5.77
T097,2024-02-01 20:20:00+00:00,2024-02-01 22:48:00+00:00,148,-4.64,75.1,39.58,48.07,367.01,359.08,-47.7,98.34,57.44,72.39,35.18,65.31,83.0,29.01,82.85,74.42,31.21,43.88,35.9,66.74,3.6
T098,2024-02-01 20:30:00+00:00,2024-02-01 22:43:00+00:00,133,-4.36,76.07,53.27,157.72,382.63,362.09,-39.28,153.27,44.84,78.98,76.34,46.61,69.32,4.17,75.28,73.65,33.35,52.22,45.71,75.81,5.85
T099,2024-02-01 20:40:00+00:00,2024-02-01 22:02:00+00:00,82,-3.06,91.64,42.76,190.72,383.38,362.5,-45.46,127.0,67.93,61.89,35.85,38.89,38.02,-6.7,92.76,61.77,32.74,49.67,36.11,83.97,5.63
T100,2024-02-01 20:50:00+00:00,2024-02-01 23:12:00+00:00,142,-1.0,88.69,43.17,84.93,375.48,362.05,-47.71,133.94,74.65,46.65,62.29,69.75,59.85,28.6,81.39,75.68,34.45,40.38,45.49,78.33,3.09
T101,2024-02-01 21:00:00+00:00,2024-02-01 22:04:00+00:00,64,-3.29,99.53,38.51,303.65,375.19,345.61,-51.73,139.33,71.09,53.41,58.36,25.56,51.29,7.38,82.6,58.97,33.2,49.8,35.15,82.89,4.3
T102,2024-02-01 21:10:00+00:00,2024-02-01 23:36:00+00:00,146,-2.23,107.81,53.73,253.64,365.27,344.74,-49.65,147.02,36.37,88.3,52.76,50.46,93.55,28.88,82.19,57.62,30.44,43.24,42.63,54.22,3.42
T103,2024-02-01 21:20:00+00:00,2024-02-01 21:44:00+00:00,24,-2.37,75.75,52.45,101.37,382.26,345.28,-48.86,154.67,62.11,59.68,77.76,73.5,51.42,33.65,81.19,56.04,33.42,46.18,45.41,69.41,3.13
T104,2024-02-01 21:30:00+00:00,2024-02-01 23:06:00+00:00,96,-0.66,102.04,60.87,160.96,371.26,349.23,-49.41,110.6,57.46,77.95,23.89,63.6,78.24,9.59,93.36,70.3,28.62,43.14,33.98,32.75,5.15
T105,2024-02-01 21:40:00+00:00,2024-02-01 22:15:00+00:00,35,-0.43,110.29,51.11,48.58,364.72,342.56,-40.6,130.31,47.33,61.3,37.91,46.77,89.21,3.94,80.72,58.63,36.75,38.71,38.0,66.71,4.97
T106,2024-02-01 21:50:00+00:00,2024-02-01 22:41:00+00:00,51,-0.6,112.64,59.97,303.82,381.12,347.24,-36.09,136.78,35.45,55.62,67.82,38.57,65.89,11.87,76.05,75.35,35.47,40.15,40.61,75.06,4.36
T107,2024-02-01 22:00:00+00:00,2024-02-02 00:01:00+00:00,121,-0.72,102.95,62.95,338.19,368.27,331.4,-42.24,146.23,63.02,59.33,65.82,46.71,82.89,45.38,84.83,54.99,29.65,54.42,36.7,39.41,3.26
T108,2024-02-01 22:10:00+00:00,2024-02-02 01:06:00+00:00,176,-4.07,101.89,43.93,131.34,380.04,339.11,-44.82,144.37,55.17,85.43,71.74,51.17,71.6,37.4,87.69,74.67,35.97,38.64,44.68,28.95,2.83
T109,2024-02-01 22:20:00+00:00,2024-02-01 23:50:00+00:00,90,-2.47,112.54,56.7,150.71,366.79,351.45,-38.66,107.94,53.18,43.83,39.22,71.04,63.3,31.45,69.87,61.33,28.97,45.81,35.87,30.55,5.67
T110,2024-02-01 22:30:00+00:00,2024-02-02 00:25:00+00:00,115,-1.56,79.94,54.32,336.4,382.58,333.27,-42.59,117.78,55.05,58.41,33.26,66.7,86.22,-1.07,94.63,67.69,36.19,40.85,34.56,47.76,4.06
